baseyear,changeyear,stfp,cntyfp,tractfp,geoid,changenopolls,nopollsadded,nopollsremoved,pctblack,pctwhite,pcthispanic,baseyearpopulationdensity,lastgeyearpollinglocstotal,baseyearpollinglocstotal
2022,2020 - 2022,13,13015,13015960302,13015960302,0,0,0,0.086,0.885,,110,2,2
2018,2016 - 2018,13,13015,13015960402,13015960402,1,0,1,0.142,0.82,,440,3,2
2022,2020 - 2022,13,13015,13015960403,13015960403,1,1,0,0.21,0.633,,1363,0,1
2022,2020 - 2022,13,13015,13015960405,13015960405,0,0,0,0.144,0.778,,671,2,2
2022,2020 - 2022,13,13015,13015960406,13015960406,1,1,0,0.168,0.784,,529,0,1
2018,2016 - 2018,13,13015,13015960600,13015960600,1,0,1,0.19,0.782,,945,3,2
2022,2020 - 2022,13,13015,13015960602,13015960602,0,0,0,0.287,0.635,,1193,3,3
2018,2016 - 2018,13,13015,13015960802,13015960802,0,0,0,0.018,0.885,,616,1,1
2020,2018 - 2020,13,13015,13015960802,13015960802,0,0,0,0.029,0.929,,606,1,1
2022,2020 - 2022,13,13015,13015960802,13015960802,0,0,0,0.031,0.911,,646,1,1
2018,2016 - 2018,13,13015,13015960803,13015960803,0,0,0,0.021,0.889,,188,2,2
2022,2020 - 2022,13,13015,13015960804,13015960804,0,0,0,0.025,0.95,,204,2,2
2018,2016 - 2018,13,13015,13015960902,13015960902,1,1,0,0.082,0.899,,484,0,1
2020,2018 - 2020,13,13015,13015960902,13015960902,1,0,1,0.066,0.92,,534,1,0
2018,2016 - 2018,13,13015,13015961000,13015961000,0,0,0,0.062,0.887,,119,2,2
2022,2020 - 2022,13,13015,13015961001,13015961001,0,0,0,0.112,0.842,,171,1,1
2022,2020 - 2022,13,13015,13015961002,13015961002,0,0,0,0.001,0.908,,95,1,1
2018,2016 - 2018,13,13017,13017960300,13017960300,1,1,0,0.407,0.569,,290,0,1
2020,2018 - 2020,13,13017,13017960300,13017960300,0,0,0,0.273,0.667,,289,1,1
2022,2020 - 2022,13,13017,13017960300,13017960300,1,0,1,0.337,0.631,,313,1,0
2018,2016 - 2018,13,13017,13017960500,13017960500,3,2,1,0.368,0.615,,187,1,2
2022,2020 - 2022,13,13017,13017960502,13017960502,2,1,1,0.484,0.504,,376,1,1
2018,2016 - 2018,13,13019,13019970100,13019970100,0,0,0,0.311,0.657,,20,1,1
2020,2018 - 2020,13,13019,13019970100,13019970100,0,0,0,0.231,0.733,,17,1,1
2022,2020 - 2022,13,13019,13019970100,13019970100,0,0,0,0.232,0.754,,14,1,1
2018,2016 - 2018,13,13019,13019970200,13019970200,0,0,0,0.056,0.907,,43,2,2
2020,2018 - 2020,13,13019,13019970200,13019970200,0,0,0,0.036,0.89,,46,2,2
2022,2020 - 2022,13,13019,13019970200,13019970200,1,0,1,0.017,0.917,,40,2,1
2018,2016 - 2018,13,13019,13019970300,13019970300,0,0,0,0.066,0.918,,46,1,1
2020,2018 - 2020,13,13019,13019970300,13019970300,0,0,0,0.057,0.91,,47,1,1
2022,2020 - 2022,13,13019,13019970300,13019970300,0,0,0,0.043,0.882,,49,1,1
2022,2020 - 2022,13,13019,13019970400,13019970400,1,1,0,0.172,0.718,,34,0,1
2018,2016 - 2018,13,13019,13019970600,13019970600,0,0,0,0.095,0.85,,70,1,1
2020,2018 - 2020,13,13019,13019970600,13019970600,0,0,0,0.094,0.844,,70,1,1
2022,2020 - 2022,13,13019,13019970600,13019970600,0,0,0,0.108,0.789,,68,1,1
2018,2016 - 2018,13,13021,13021010200,13021010200,0,0,0,0.362,0.638,,3330,1,1
2020,2018 - 2020,13,13021,13021010200,13021010200,0,0,0,0.309,0.691,,3189,1,1
2022,2020 - 2022,13,13021,13021010200,13021010200,0,0,0,0.314,0.594,,3460,1,1
2018,2016 - 2018,13,13021,13021011000,13021011000,0,0,0,0.648,0.334,,808,1,1
2022,2020 - 2022,13,13021,13021011001,13021011001,0,0,0,0.586,0.402,,848,1,1
2018,2016 - 2018,13,13021,13021011100,13021011100,1,0,1,0.944,0.048,,1313,1,0
2022,2020 - 2022,13,13021,13021011100,13021011100,1,1,0,0.899,0.068,,1271,0,1
2018,2016 - 2018,13,13021,13021011500,13021011500,0,0,0,0.946,0.017,,2704,1,1
2020,2018 - 2020,13,13021,13021011500,13021011500,0,0,0,0.979,0.021,,2833,1,1
2022,2020 - 2022,13,13021,13021011500,13021011500,0,0,0,0.98,0.02,,3071,1,1
2018,2016 - 2018,13,13021,13021011702,13021011702,1,1,0,0.933,0.041,,1291,1,2
2020,2018 - 2020,13,13021,13021011702,13021011702,0,0,0,0.891,0.085,,1160,2,2
2022,2020 - 2022,13,13021,13021011702,13021011702,1,0,1,0.839,0.084,,1257,2,1
2018,2016 - 2018,13,13021,13021011800,13021011800,2,1,1,0.234,0.7,,1981,1,1
2020,2018 - 2020,13,13021,13021011800,13021011800,0,0,0,0.388,0.524,,2273,1,1
2022,2020 - 2022,13,13021,13021011800,13021011800,2,1,1,0.399,0.509,,2432,1,1
2018,2016 - 2018,13,13021,13021011900,13021011900,0,0,0,0.33,0.632,,1327,1,1
2020,2018 - 2020,13,13021,13021011900,13021011900,0,0,0,0.386,0.567,,1434,1,1
2022,2020 - 2022,13,13021,13021011900,13021011900,0,0,0,0.328,0.623,,1446,1,1
2018,2016 - 2018,13,13021,13021012000,13021012000,0,0,0,0.212,0.726,,1358,1,1
2020,2018 - 2020,13,13021,13021012000,13021012000,0,0,0,0.182,0.717,,1358,1,1
2022,2020 - 2022,13,13021,13021012000,13021012000,0,0,0,0.22,0.68,,1456,1,1
2018,2016 - 2018,13,13021,13021012102,13021012102,4,2,2,0.419,0.487,,1833,3,3
2020,2018 - 2020,13,13021,13021012102,13021012102,2,1,1,0.426,0.45,,2019,3,3
2022,2020 - 2022,13,13021,13021012102,13021012102,1,1,0,0.405,0.445,,1921,3,4
2018,2016 - 2018,13,13021,13021012200,13021012200,2,1,1,0.607,0.348,,1827,1,1
2020,2018 - 2020,13,13021,13021012200,13021012200,2,1,1,0.766,0.226,,1758,1,1
2022,2020 - 2022,13,13021,13021012200,13021012200,0,0,0,0.772,0.222,,1693,1,1
2018,2016 - 2018,13,13021,13021012400,13021012400,0,0,0,0.966,0.025,,2661,1,1
2020,2018 - 2020,13,13021,13021012400,13021012400,0,0,0,0.949,0.04,,2737,1,1
2022,2020 - 2022,13,13021,13021012400,13021012400,0,0,0,0.944,0.044,,2669,1,1
2018,2016 - 2018,13,13021,13021012500,13021012500,0,0,0,0.857,0.063,,1948,1,1
2020,2018 - 2020,13,13021,13021012500,13021012500,0,0,0,0.826,0.037,,2097,1,1
2022,2020 - 2022,13,13021,13021012500,13021012500,0,0,0,0.843,0.018,,2415,1,1
2022,2020 - 2022,13,13021,13021012600,13021012600,1,1,0,0.866,0.094,,1544,0,1
2018,2016 - 2018,13,13021,13021012800,13021012800,0,0,0,0.9,0.077,,4195,2,2
2020,2018 - 2020,13,13021,13021012800,13021012800,0,0,0,0.914,0.073,,3664,2,2
2022,2020 - 2022,13,13021,13021012800,13021012800,0,0,0,0.922,0.066,,3835,2,2
2018,2016 - 2018,13,13021,13021013101,13021013101,0,0,0,0.756,0.2,,1594,1,1
2020,2018 - 2020,13,13021,13021013101,13021013101,0,0,0,0.786,0.117,,1560,1,1
2022,2020 - 2022,13,13021,13021013101,13021013101,0,0,0,0.811,0.111,,1887,1,1
2018,2016 - 2018,13,13021,13021013102,13021013102,1,1,0,0.902,0.07,,2257,0,1
2020,2018 - 2020,13,13021,13021013102,13021013102,1,0,1,0.838,0.083,,1983,1,0
2018,2016 - 2018,13,13021,13021013202,13021013202,0,0,0,0.781,0.129,,1264,1,1
2020,2018 - 2020,13,13021,13021013202,13021013202,0,0,0,0.752,0.154,,1525,1,1
2022,2020 - 2022,13,13021,13021013202,13021013202,0,0,0,0.74,0.168,,1663,1,1
2018,2016 - 2018,13,13021,13021013302,13021013302,1,0,1,0.737,0.25,,349,1,0
2022,2020 - 2022,13,13021,13021013302,13021013302,1,1,0,0.709,0.278,,313,0,1
2018,2016 - 2018,13,13021,13021013408,13021013408,0,0,0,0.201,0.706,,1273,2,2
2020,2018 - 2020,13,13021,13021013408,13021013408,0,0,0,0.177,0.731,,1115,2,2
2022,2020 - 2022,13,13021,13021013408,13021013408,0,0,0,0.162,0.702,,1262,2,2
2018,2016 - 2018,13,13021,13021013409,13021013409,1,1,0,0.363,0.505,,848,0,1
2020,2018 - 2020,13,13021,13021013409,13021013409,1,0,1,0.49,0.441,,846,1,0
2018,2016 - 2018,13,13021,13021013410,13021013410,2,1,1,0.144,0.839,,576,2,2
2022,2020 - 2022,13,13021,13021013413,13021013413,0,0,0,0.149,0.687,,416,2,2
2018,2016 - 2018,13,13021,13021013504,13021013504,0,0,0,0.244,0.722,,651,2,2
2022,2020 - 2022,13,13021,13021013505,13021013505,0,0,0,0.32,0.583,,1006,1,1
2022,2020 - 2022,13,13021,13021013506,13021013506,0,0,0,0.268,0.715,,521,1,1
2018,2016 - 2018,13,13021,13021013603,13021013603,3,1,2,0.295,0.668,,289,2,1
2020,2018 - 2020,13,13021,13021013603,13021013603,3,2,1,0.335,0.625,,289,1,2
2022,2020 - 2022,13,13021,13021013603,13021013603,0,0,0,0.329,0.622,,283,2,2
2018,2016 - 2018,13,13021,13021013604,13021013604,0,0,0,0.332,0.649,,202,1,1
2020,2018 - 2020,13,13021,13021013604,13021013604,0,0,0,0.365,0.626,,178,1,1
2022,2020 - 2022,13,13021,13021013604,13021013604,0,0,0,0.358,0.58,,185,1,1
2018,2016 - 2018,13,13021,13021013605,13021013605,0,0,0,0.468,0.473,,759,2,2
2020,2018 - 2020,13,13021,13021013605,13021013605,0,0,0,0.495,0.465,,836,2,2
2022,2020 - 2022,13,13021,13021013605,13021013605,0,0,0,0.479,0.487,,816,2,2
2018,2016 - 2018,13,13021,13021013800,13021013800,0,0,0,0.914,0.028,,885,1,1
2020,2018 - 2020,13,13021,13021013800,13021013800,0,0,0,0.94,0.06,,769,1,1
2022,2020 - 2022,13,13021,13021013800,13021013800,0,0,0,0.942,0.058,,848,1,1
2018,2016 - 2018,13,13021,13021013900,13021013900,1,1,0,0.428,0.54,,46,0,1
2020,2018 - 2020,13,13021,13021013900,13021013900,0,0,0,0.451,0.528,,49,1,1
2022,2020 - 2022,13,13021,13021013900,13021013900,1,0,1,0.458,0.509,,50,1,0
2018,2016 - 2018,13,13023,13023790200,13023790200,4,2,2,0.471,0.437,,42,2,2
2020,2018 - 2020,13,13023,13023790200,13023790200,0,0,0,0.419,0.58,,49,2,2
2022,2020 - 2022,13,13023,13023790200,13023790200,5,3,2,0.405,0.592,,47,2,3
2018,2016 - 2018,13,13025,13025960200,13025960200,0,0,0,0.028,0.934,,31,1,1
2022,2020 - 2022,13,13025,13025960202,13025960202,1,1,0,0.035,0.903,,30,1,2
2018,2016 - 2018,13,13025,13025960300,13025960300,0,0,0,0.063,0.937,,39,1,1
2020,2018 - 2020,13,13025,13025960300,13025960300,0,0,0,0.047,0.953,,40,1,1
2022,2020 - 2022,13,13025,13025960300,13025960300,2,1,1,0.015,0.974,,38,1,1
2018,2016 - 2018,13,13027,13027960200,13027960200,2,1,1,0.203,0.736,,13,2,2
2020,2018 - 2020,13,13027,13027960200,13027960200,0,0,0,0.206,0.64,,12,2,2
2022,2020 - 2022,13,13027,13027960200,13027960200,2,1,1,0.219,0.637,,14,2,2
2018,2016 - 2018,13,13027,13027960300,13027960300,0,0,0,0.182,0.757,,40,2,2
2022,2020 - 2022,13,13027,13027960301,13027960301,0,0,0,0.201,0.759,,31,1,1
2022,2020 - 2022,13,13027,13027960302,13027960302,0,0,0,0.131,0.652,,198,1,1
2018,2016 - 2018,13,13027,13027960400,13027960400,0,0,0,0.51,0.488,,72,1,1
2020,2018 - 2020,13,13027,13027960400,13027960400,0,0,0,0.544,0.419,,71,1,1
2022,2020 - 2022,13,13027,13027960400,13027960400,0,0,0,0.514,0.442,,73,1,1
2022,2020 - 2022,13,13027,13027960500,13027960500,1,1,0,0.601,0.357,,74,0,1
2018,2016 - 2018,13,13027,13027960600,13027960600,0,0,0,0.298,0.679,,15,2,2
2020,2018 - 2020,13,13027,13027960600,13027960600,0,0,0,0.248,0.727,,14,2,2
2022,2020 - 2022,13,13027,13027960600,13027960600,2,1,1,0.293,0.69,,15,2,2
2018,2016 - 2018,13,13029,13029920101,13029920101,0,0,0,0.143,0.806,,107,2,2
2020,2018 - 2020,13,13029,13029920101,13029920101,0,0,0,0.184,0.762,,101,2,2
2022,2020 - 2022,13,13029,13029920101,13029920101,2,1,1,0.182,0.768,,107,2,2
2018,2016 - 2018,13,13029,13029920102,13029920102,0,0,0,0.223,0.713,,55,1,1
2022,2020 - 2022,13,13029,13029920103,13029920103,1,1,0,0.235,0.686,,63,1,2
2018,2016 - 2018,13,13029,13029920301,13029920301,0,0,0,0.145,0.75,,78,1,1
2020,2018 - 2020,13,13029,13029920301,13029920301,0,0,0,0.28,0.707,,67,1,1
2022,2020 - 2022,13,13029,13029920301,13029920301,0,0,0,0.391,0.588,,68,1,1
2018,2016 - 2018,13,13029,13029920303,13029920303,0,0,0,0.233,0.677,,1800,1,1
2020,2018 - 2020,13,13029,13029920303,13029920303,0,0,0,0.215,0.62,,1800,1,1
2022,2020 - 2022,13,13029,13029920303,13029920303,0,0,0,0.209,0.574,,1981,1,1
2018,2016 - 2018,13,13029,13029920305,13029920305,2,1,1,0.098,0.811,,495,2,2
2020,2018 - 2020,13,13029,13029920305,13029920305,0,0,0,0.101,0.835,,493,2,2
2022,2020 - 2022,13,13029,13029920305,13029920305,3,1,2,0.101,0.832,,562,2,1
2018,2016 - 2018,13,13029,13029920306,13029920306,2,1,1,0.096,0.814,,143,3,3
2022,2020 - 2022,13,13029,13029920307,13029920307,1,1,0,0.063,0.774,,141,2,3
2022,2020 - 2022,13,13029,13029920308,13029920308,0,0,0,0.076,0.798,,324,1,1
2018,2016 - 2018,13,13031,13031110100,13031110100,2,1,1,0.314,0.641,,35,2,2
2020,2018 - 2020,13,13031,13031110100,13031110100,0,0,0,0.278,0.695,,35,2,2
2022,2020 - 2022,13,13031,13031110100,13031110100,2,1,1,0.202,0.771,,34,2,2
2018,2016 - 2018,13,13031,13031110200,13031110200,0,0,0,0.413,0.539,,204,2,2
2022,2020 - 2022,13,13031,13031110202,13031110202,1,1,0,0.22,0.711,,280,2,3
2018,2016 - 2018,13,13031,13031110500,13031110500,1,0,1,0.176,0.74,,1158,3,2
2020,2018 - 2020,13,13031,13031110500,13031110500,0,0,0,0.129,0.73,,1182,2,1
2022,2020 - 2022,13,13031,13031110500,13031110500,1,1,0,0.195,0.686,,1273,1,2
2018,2016 - 2018,13,13031,13031110601,13031110601,0,0,0,0.291,0.676,,200,1,1
2020,2018 - 2020,13,13031,13031110602,13031110602,0,0,0,0.497,0.458,,80,0,1
2022,2020 - 2022,13,13031,13031110602,13031110602,0,0,0,0.53,0.427,,83,1,1
2022,2020 - 2022,13,13031,13031110604,13031110604,0,0,0,0.334,0.576,,114,1,1
2018,2016 - 2018,13,13031,13031110700,13031110700,2,1,1,0.072,0.869,,89,3,3
2022,2020 - 2022,13,13031,13031110701,13031110701,0,0,0,0.233,0.72,,97,1,1
2022,2020 - 2022,13,13031,13031110702,13031110702,1,0,1,0.075,0.771,,220,1,0
2022,2020 - 2022,13,13031,13031110703,13031110703,1,1,0,0.135,0.81,,55,1,2
2018,2016 - 2018,13,13031,13031110800,13031110800,2,1,1,0.314,0.639,,37,2,2
2020,2018 - 2020,13,13031,13031110800,13031110800,0,0,0,0.266,0.638,,42,2,2
2022,2020 - 2022,13,13031,13031110800,13031110800,0,0,0,0.224,0.665,,43,2,2
2018,2016 - 2018,13,13031,13031110900,13031110900,2,1,1,0.168,0.817,,40,3,3
2022,2020 - 2022,13,13031,13031110901,13031110901,0,0,0,0.061,0.885,,51,2,2
2022,2020 - 2022,13,13031,13031110902,13031110902,0,0,0,0.148,0.777,,30,1,1
2018,2016 - 2018,13,13033,13033950100,13033950100,0,0,0,0.451,0.535,,34,2,2
2022,2020 - 2022,13,13033,13033950101,13033950101,0,0,0,0.291,0.672,,51,1,1
2022,2020 - 2022,13,13033,13033950102,13033950102,0,0,0,0.447,0.511,,30,1,1
2018,2016 - 2018,13,13033,13033950200,13033950200,0,0,0,0.208,0.765,,28,2,2
2020,2018 - 2020,13,13033,13033950200,13033950200,0,0,0,0.126,0.818,,32,2,2
2022,2020 - 2022,13,13033,13033950200,13033950200,0,0,0,0.186,0.756,,35,2,2
2018,2016 - 2018,13,13033,13033950400,13033950400,2,1,1,0.761,0.218,,56,3,3
2020,2018 - 2020,13,13033,13033950400,13033950400,2,1,1,0.729,0.233,,51,3,3
2022,2020 - 2022,13,13033,13033950400,13033950400,2,1,1,0.737,0.232,,54,3,3
2018,2016 - 2018,13,13033,13033950500,13033950500,0,0,0,0.43,0.522,,37,2,2
2020,2018 - 2020,13,13033,13033950500,13033950500,0,0,0,0.505,0.48,,36,2,2
