pollid,pollname,x,y,stfp,cntyfp,tractfp
d28e14f8-b745-4fde-8a8d-a1b214ad2222,"Census Tract 9, Barron County, Wisconsin",-92.095,45.363,55,55005,55005000900
9d208eb1-ccec-4371-a8bc-fa4fa6a1dd2a,"Census Tract 35.01, Chatham County, Georgia",-81.091,32.029,13,13051,13051003501
12f863ab-6c59-44e7-836d-eb74c3397bd3,"Census Tract 5.03, Beaufort County, South Carolina",-80.733,32.407,45,45013,45013000503
ee9f2143-77a8-4f9e-9305-3969e1d204e6,"Census Tract 15.05, Florence County, South Carolina",-79.768,34.089,45,45041,45041001505
81da0c2d-e1d1-470a-abfb-d4e673e77721,"Census Tract 9504.02, Sunflower County, Mississippi",-90.642,33.433,28,28133,28133950402
4ffbd44f-1d85-41cf-9076-9dcbbb7af922,"Census Tract 501.09, Gwinnett County, Georgia",-84.071,34.090,13,13135,13135050109
8d412e0c-00bc-419f-b7f0-6461b0376d60,"Census Tract 602.04, Horry County, South Carolina",-79.007,33.691,45,45051,45051060204
94e91d4e-2849-4db3-b15b-0b20109f4c1f,"Census Tract 9602, Atkinson County, Georgia",-82.843,31.293,13,13003,13003960200
152c6f4e-d079-41e3-aef2-1dac4a74239e,"Census Tract 22.01, Winnebago County, Wisconsin",-88.713,44.110,55,55139,55139002201
829f9118-7517-4504-9903-ec9034b96486,"Census Tract 105.04, Richmond County, Georgia",-82.053,33.450,13,13245,13245010504
958020e1-0659-4acf-a25a-23d8fa7be897,"Census Tract 9505.01, Chesterfield County, South Carolina",-79.992,34.758,45,45025,45025950501
802afdc1-3d84-44e5-8b16-47871300703e,"Census Tract 207.04, Brown County, Wisconsin",-87.991,44.469,55,55009,55009020704
c0342439-abca-4b25-b75c-f5b2ce67b3fc,"Census Tract 507.15, Gwinnett County, Georgia",-84.055,33.873,13,13135,13135050715
4eebe1cd-adb3-4bbe-b55d-9b08ae53e77c,"Census Tract 9203.06, Bryan County, Georgia",-81.305,31.927,13,13029,13029920306
dd827f94-7770-4841-9cec-5d169921cfb4,"Census Tract 9606, Portage County, Wisconsin",-89.312,44.492,55,55097,55097960600
5a78f39e-1a3b-4bf1-9efd-f03ffa7f0aa1,"Census Tract 9502, Pike County, Mississippi",-90.445,31.297,28,28113,28113950200
e600dc8b-f2b4-47a2-b535-85d13b884139,"Census Tract 1008, Oconto County, Wisconsin",-88.164,45.003,55,55083,55083100800
76969dd1-0303-4c0a-8f32-a58e8d95da86,"Census Tract 9201.01, Bryan County, Georgia",-81.490,32.165,13,13029,13029920101
2cecddd1-31a5-4f17-8dcc-f59fe85a1d9f,"Census Tract 303.03, Effingham County, Georgia",-81.248,32.318,13,13103,13103030303
10588559-f4db-4bbb-bc8e-ec8004e3c90d,"Census Tract 114.19, Fulton County, Georgia",-84.365,34.039,13,13121,13121011419
c9da04e9-f36e-4494-a9d7-aceba7f6fbf3,"Census Tract 9505, Burke County, Georgia",-82.001,33.076,13,13033,13033950500
d306ea35-04cb-44b0-9148-1112bd42eb8c,"Census Tract 9506, Leflore County, Mississippi",-90.183,33.524,28,28083,28083950600
3e161767-ceb6-445a-b8fb-429a0561d506,"Census Tract 9611, Dodge County, Wisconsin",-88.684,43.404,55,55027,55027961100
0a649b10-c4a2-47b1-b66b-7b02b7ae3d68,"Census Tract 9112.01, Carroll County, Georgia",-85.251,33.529,13,13045,13045911201
a8e61789-55cb-4c53-8ab4-e148087722fe,"Census Tract 9702.01, Edgefield County, South Carolina",-82.077,33.708,45,45037,45037970201
f5f45b2c-3b75-42ef-8532-91c93973e9aa,"Census Tract 123, Milwaukee County, Wisconsin",-87.962,43.041,55,55079,55079012300
56998652-2eba-4870-9d75-0663b3332548,"Census Tract 10, Lauderdale County, Mississippi",-88.712,32.409,28,28075,28075001000
92aad7ab-1c7e-40d2-9b73-ccad9362a760,"Census Tract 9502.02, Jones County, Mississippi",-89.274,31.755,28,28067,28067950202
5b4ada8e-dd68-41c5-abf7-20cc4b0e2f52,"Census Tract 10.03, Racine County, Wisconsin",-87.817,42.714,55,55101,55101001003
fd91492d-b6f4-4c52-bf87-d9089ccd8dd5,"Census Tract 612.03, York County, South Carolina",-80.950,34.893,45,45091,45091061203
55eb5a51-6cde-49c3-8347-782f6f17fa44,"Census Tract 103.01, Fulton County, Georgia",-84.671,33.620,13,13121,13121010301
3af61d3f-7ff1-4ae2-b26a-0ae58c52dd8e,"Census Tract 9201, Hampton County, South Carolina",-81.185,32.927,45,45049,45049920100
51923839-2805-4038-b9d8-2ec4772eec72,"Census Tract 9504, Coahoma County, Mississippi",-90.578,34.210,28,28027,28027950400
7875917b-e455-4c15-b767-552810e48aa0,"Census Tract 9702, Lincoln County, Georgia",-82.395,33.745,13,13181,13181970200
2019df64-7ef4-495c-92fc-386cf8ef642b,"Census Tract 9501.01, Walthall County, Mississippi",-90.112,31.269,28,28147,28147950101
e9a29c32-469d-497b-8a27-dbeca461d041,"Census Tract 9503.01, Lincoln County, Mississippi",-90.410,31.568,28,28085,28085950301
f53166d5-c984-40ba-afa9-141664edff29,"Census Tract 801.02, Horry County, South Carolina",-79.210,33.985,45,45051,45051080102
e9e78d0d-e1bb-4d02-912c-73f4593c15f0,"Census Tract 9705.02, Baldwin County, Georgia",-83.347,33.073,13,13009,13009970502
29299840-86e1-4a32-9f1a-81434108611a,"Census Tract 9602, Dodge County, Georgia",-83.211,32.285,13,13091,13091960200
1cb09c7f-158e-4ed2-94c2-45152024506e,"Census Tract 9502.01, Prentiss County, Mississippi",-88.563,34.696,28,28117,28117950201
46ffb229-11d0-4bb0-8027-1aeb03343004,"Census Tract 9507, Jones County, Mississippi",-89.123,31.692,28,28067,28067950700
ee769b0d-033c-4e6e-89b3-37cea457f696,"Census Tract 9501, Covington County, Mississippi",-89.500,31.743,28,28031,28031950100
7e3e7778-c571-4b51-a53e-eeca64fb8e01,"Census Tract 3, Manitowoc County, Wisconsin",-87.694,44.108,55,55071,55071000300
e3557543-adba-4d8d-9254-c1ca27c93367,"Census Tract 114, Sheboygan County, Wisconsin",-87.713,43.751,55,55117,55117011400
66fcdb38-92e7-4a28-a374-cd0f2ba9c574,"Census Tract 9505.01, Panola County, Mississippi",-90.101,34.288,28,28107,28107950501
2de8e5b3-5f4b-4801-acb9-e5c6cd23a04d,"Census Tract 206.03, Aiken County, South Carolina",-81.937,33.527,45,45003,45003020603
f3ca3bef-fbd0-4926-9af2-039faaa2f4e3,"Census Tract 9504, Itawamba County, Mississippi",-88.332,34.268,28,28057,28057950400
ad41835b-94b2-4028-94f5-0fbbcedc99dc,"Census Tract 232.09, DeKalb County, Georgia",-84.166,33.786,13,13089,13089023209
4bb64391-1f50-4e81-bc06-5208c807ab43,"Census Tract 9506.02, Oktibbeha County, Mississippi",-88.831,33.439,28,28105,28105950602
ede83d9e-66f3-4dcc-869f-82308fd33d87,"Census Tract 231.11, DeKalb County, Georgia",-84.223,33.758,13,13089,13089023111
fc2a7014-02ca-4a46-92bf-d4e158b4a707,"Census Tract 111.03, Hinds County, Mississippi",-90.267,32.182,28,28049,28049011103
8efb083c-912e-4969-aa59-fff76bf35428,"Census Tract 9703.02, Greenwood County, South Carolina",-82.193,34.210,45,45047,45047970302
8df1fde7-9cca-4c3e-837a-4cf595300274,"Census Tract 1204.02, Harris County, Georgia",-84.821,32.627,13,13145,13145120402
ddb526a9-cb57-40eb-bdb1-84fc1fd34eca,"Census Tract 114.25, Fulton County, Georgia",-84.224,34.014,13,13121,13121011425
b01ac0e7-2a7e-404b-b476-33528bc51180,"Census Tract 504.28, Gwinnett County, Georgia",-84.114,33.889,13,13135,13135050428
2e8bdfd6-8bec-41a2-bfb4-525b6c6471a7,"Census Tract 9601, Buffalo County, Wisconsin",-91.696,44.569,55,55011,55011960100
05e1bb57-21f2-4003-87f7-6a195893c13b,"Census Tract 21, Floyd County, Georgia",-85.204,34.187,13,13115,13115002100
13102c6f-271d-45b7-9a47-0505c8533638,"Census Tract 5, Adams County, Mississippi",-91.354,31.574,28,28001,28001000500
b7527477-b780-4db0-8f15-cefaccb6d6e4,"Census Tract 805.10, Douglas County, Georgia",-84.718,33.695,13,13097,13097080510
85b87504-c09f-4753-91a9-9af957c3f718,"Census Tract 9602, Rusk County, Wisconsin",-91.479,45.314,55,55107,55107960200
0105b300-da9e-4322-b78c-3f3c7aa7ea59,"Census Tract 9507, Pike County, Mississippi",-90.327,31.047,28,28113,28113950700
b68aea58-a949-40e0-848c-90f5a158684a,"Census Tract 10, Dane County, Wisconsin",-89.434,43.055,55,55025,55025001000
cc34f47e-5f5d-499b-8c2b-8066cf9e36bf,"Census Tract 603, Attala County, Mississippi",-89.659,32.982,28,28007,28007060300
27b2b962-45a8-4a2a-829e-0e8ca1d4bce4,"Census Tract 703, Milwaukee County, Wisconsin",-87.898,43.107,55,55079,55079070300
99e650d6-4f2f-4c79-8783-0340e424d435,"Census Tract 9504, Clark County, Wisconsin",-90.740,44.800,55,55019,55019950400
53208af2-ecdf-4961-ba19-28ac11191390,"Census Tract 9506.01, Newberry County, South Carolina",-81.533,34.210,45,45071,45071950601
c7b83826-a114-4e0f-a7c6-188a0ce8de46,"Census Tract 42.08, Chatham County, Georgia",-81.139,31.991,13,13051,13051004208
db24482a-fa95-423b-862c-352f46f9d51c,"Census Tract 72, Milwaukee County, Wisconsin",-87.895,43.072,55,55079,55079007200
d2f319b8-f0da-4236-b8dc-75e7fec41dbc,"Census Tract 8, Forrest County, Mississippi",-89.338,31.313,28,28035,28035000800
5efd42de-ae48-43db-a63b-b95519b232e4,"Census Tract 9604, Wilkinson County, Georgia",-83.226,32.594,13,13319,13319960400
e0f16e4a-132b-4b2a-9bc4-07a162fa29e9,"Census Tract 114.12, Richland County, South Carolina",-80.891,34.087,45,45079,45079011412
d7ced123-32a0-4914-aa59-fa2d9af2ec7f,"Census Tract 24.02, Greenville County, South Carolina",-82.250,34.999,45,45045,45045002402
2c8d4fcf-f2cd-4cb5-aa9a-c20a91f282d0,"Census Tract 9703.01, Toombs County, Georgia",-82.424,32.225,13,13279,13279970301
9e6ee107-d495-420e-b63e-b6bedd81f731,"Census Tract 203.03, Calumet County, Wisconsin",-88.399,44.238,55,55015,55015020303
7f475302-5434-4b90-940a-e056ff9a05d8,"Census Tract 1004, Door County, Wisconsin",-87.124,45.066,55,55029,55029100400
8d2bf35d-3401-4374-81e1-9feccd10a3a5,"Census Tract 1802.04, Barrow County, Georgia",-83.718,33.990,13,13013,13013180204
4abb6515-f65b-4324-b418-68e4f6dc890b,"Census Tract 503.01, Newton County, Mississippi",-89.108,32.439,28,28101,28101050301
49c21362-f120-4144-a9d9-8fe018a97e54,"Census Tract 9704, Lafayette County, Wisconsin",-90.394,42.571,55,55065,55065970400
c680a9ff-1def-4c36-afa3-3e9c53232a77,"Census Tract 9504, Pontotoc County, Mississippi",-88.985,34.216,28,28115,28115950400
da1a274b-c7b5-407c-b16f-ad900437f9a7,"Census Tract 110.01, Lancaster County, South Carolina",-80.724,34.707,45,45057,45057011001
c8c16a1c-9c1b-4b88-b59c-b35d0e2b2c8b,"Census Tract 15.02, Hall County, Georgia",-83.994,34.158,13,13139,13139001502
df35e022-1fa5-46f9-ac2d-edd54eca5554,"Census Tract 9707, Dunn County, Wisconsin",-91.932,44.871,55,55033,55033970700
4003692e-abc4-438f-86b8-aae7e2177e9e,"Census Tract 9203.05, Bryan County, Georgia",-81.302,31.948,13,13029,13029920305
9a7cebad-8fec-4995-9692-0deb6a85d3cc,"Census Tract 313.13, Cobb County, Georgia",-84.554,33.813,13,13067,13067031313
5331bf8c-28af-4d47-8813-b507336c5994,"Census Tract 1101, Bulloch County, Georgia",-81.932,32.537,13,13031,13031110100
c7036138-1cff-4d35-8905-bcfc53cda30f,"Census Tract 312.06, Cobb County, Georgia",-84.516,33.844,13,13067,13067031206
41570613-b25e-4771-99ef-f13ee75695a6,"Census Tract 112.02, Richland County, South Carolina",-80.973,34.036,45,45079,45079011202
1994fd10-3afc-4635-bcf3-869e7ae63897,"Census Tract 26.12, Charleston County, South Carolina",-80.009,32.803,45,45019,45019002612
e5577b83-ddc0-4fcb-aa63-bb16b1466d49,"Census Tract 21.08, Beaufort County, South Carolina",-80.852,32.228,45,45013,45013002108
fb5a8ec1-03cb-4b44-a1c4-3b805380d6cf,"Census Tract 9605, Jackson County, Wisconsin",-90.843,44.285,55,55053,55053960500
4235cab7-10e5-40e7-b838-a469e0c94620,"Census Tract 102, Orangeburg County, South Carolina",-80.423,33.333,45,45075,45075010200
f82c0985-f62a-4d9c-a88b-019c1c0b61bd,"Census Tract 21.07, Beaufort County, South Carolina",-80.861,32.236,45,45013,45013002107
7de37770-3ab2-449c-a7a1-b04f28bfd2d6,"Census Tract 9607.01, Clarendon County, South Carolina",-80.213,33.688,45,45027,45027960701
f1807059-fd23-4efd-b6a4-9f26da4d754d,"Census Tract 9505, Yazoo County, Mississippi",-90.406,32.855,28,28163,28163950500
6a8c1236-14cb-4a00-9819-ff8fed4cbf32,"Census Tract 9400.02, Sawyer County, Wisconsin",-91.413,45.915,55,55113,55113940002
533d3865-b48f-441c-aa71-f6c913da852c,"Census Tract 302.29, Cobb County, Georgia",-84.587,34.035,13,13067,13067030229
a8bf07d6-7744-40c8-884b-abaeb4c55a01,"Census Tract 9601.02, Jeff Davis County, Georgia",-82.600,31.860,13,13161,13161960102
8f34f2b3-3470-495d-9fda-3686784cec26,"Census Tract 201, Stone County, Mississippi",-89.140,30.861,28,28131,28131020100
424539a0-c235-4ece-8a5e-7c556643c113,"Census Tract 9505, Marion County, South Carolina",-79.244,34.192,45,45067,45067950500
8201c5df-86cc-4325-8981-3b81085aa712,"Census Tract 9501.01, Perry County, Mississippi",-88.939,31.351,28,28111,28111950101
f1a3abb9-336b-46c6-9c9e-a7c9e5f65b74,"Census Tract 9504.02, Pearl River County, Mississippi",-89.638,30.666,28,28109,28109950402
dab1d4ce-ff51-4941-907c-b787b86bee9e,"Census Tract 9601, Portage County, Wisconsin",-89.294,44.541,55,55097,55097960100
ade8635e-b3fc-430c-ac92-5b4568db866e,"Census Tract 301.01, Madison County, Mississippi",-90.107,32.437,28,28089,28089030101
da2cb238-0154-418d-826e-5581bba74171,"Census Tract 1401.01, Fayette County, Georgia",-84.455,33.510,13,13113,13113140101
86ad20ed-4cfe-4c51-a052-d120020bf544,"Census Tract 9604, Vernon County, Wisconsin",-90.889,43.560,55,55123,55123960400
d51a5b00-c5f9-4192-958e-0b066293f465,"Census Tract 401.05, Horry County, South Carolina",-78.614,33.873,45,45051,45051040105
bc4a0b80-ee9e-4835-85b0-0a2486ab0cda,"Census Tract 9508, Leflore County, Mississippi",-90.180,33.516,28,28083,28083950800
a702a4b0-1dfe-4939-9b89-ca11a137ea49,"Census Tract 117.01, Orangeburg County, South Carolina",-80.816,33.249,45,45075,45075011701
68986a65-e8ce-43fc-bf22-f817303853c8,"Census Tract 104.02, Pickens County, South Carolina",-82.701,34.875,45,45077,45077010402
2da0b922-5551-4c47-b7a3-92c003f0acaa,"Census Tract 116.35, Fulton County, Georgia",-84.124,34.043,13,13121,13121011635
c4564a66-2a99-420a-9699-820a39e4539b,"Census Tract 205, Scott County, Mississippi",-89.474,32.365,28,28123,28123020500
a42f649b-d06a-4fe4-a6f0-affe6b544ec7,"Census Tract 215, Spartanburg County, South Carolina",-81.946,34.987,45,45083,45083021500
0248907c-0a96-4c41-a689-8190ec0c37e4,"Census Tract 301.05, Madison County, Mississippi",-90.128,32.415,28,28089,28089030105
977a9524-0d31-4920-a78d-45a4475ad8fe,"Census Tract 9601, Lawrence County, Mississippi",-89.963,31.439,28,28077,28077960100
b4cd982d-1416-4dac-82e7-aabd964e969b,"Census Tract 618.01, York County, South Carolina",-81.228,35.113,45,45091,45091061801
ac70c524-63ef-4f65-93b5-9702d880ff05,"Census Tract 303.13, Cobb County, Georgia",-84.528,34.034,13,13067,13067030313
fe275a60-f9fe-4be0-b346-036397ff4cae,"Census Tract 1005, Oconto County, Wisconsin",-88.452,45.167,55,55083,55083100500
f34a2141-f36b-467b-b05c-bcaf8313a321,"Census Tract 208, Milwaukee County, Wisconsin",-87.880,42.986,55,55079,55079020800
a9895749-7e3c-4f1d-95e3-bc5eff485aa3,"Census Tract 19.01, Florence County, South Carolina",-79.559,33.819,45,45041,45041001901
34ee1122-3188-4ae9-a128-c586eacaadd2,"Census Tract 9501.02, Perry County, Mississippi",-88.897,31.190,28,28111,28111950102
45b3c9e2-d56f-4943-88b4-cd2d149524ac,"Census Tract 302.24, Cobb County, Georgia",-84.639,34.033,13,13067,13067030224
28a3b823-1e84-493e-8b64-54d2aafdd230,"Census Tract 504, Newton County, Mississippi",-89.137,32.315,28,28101,28101050400
1505ef02-5284-43e5-925f-fe0abf9e9171,"Census Tract 9502, Holmes County, Mississippi",-90.053,33.113,28,28051,28051950200
0e9d9287-a790-4637-a684-2510d6b30d5a,"Census Tract 1009.03, Newton County, Georgia",-84.017,33.551,13,13217,13217100903
d994f4cb-6435-42c4-8656-a226b99ab3b6,"Census Tract 20.05, Greenville County, South Carolina",-82.384,34.771,45,45045,45045002005
f38e4c14-67a4-4cb0-9f54-d5ee7f22abf1,"Census Tract 9701, Dunn County, Wisconsin",-91.880,45.179,55,55033,55033970100
f0f62114-b88a-454c-b3c0-2b62c9cf9a7c,"Census Tract 6101.01, Ozaukee County, Wisconsin",-87.947,43.471,55,55089,55089610101
d0d42477-80ab-4e72-9ff2-7a180f1349c5,"Census Tract 202.01, Lexington County, South Carolina",-81.052,33.979,45,45063,45063020201
490765b9-b6e2-4b41-b153-7e75bada9f19,"Census Tract 1101, Milwaukee County, Wisconsin",-87.973,43.017,55,55079,55079110100
f200aae5-af71-48e2-b6e0-eebe4eef0d08,"Census Tract 201, Lexington County, South Carolina",-81.070,33.957,45,45063,45063020100
e8f0d1a7-e830-44cb-bab0-e76ba666a04b,"Census Tract 306, Madison County, Mississippi",-90.031,32.614,28,28089,28089030600
5b15a489-40be-4455-9121-76b8144ba22f,"Census Tract 4.03, Lowndes County, Mississippi",-88.387,33.464,28,28087,28087000403
974afbfc-a85a-489d-884a-d0e114ebc42b,"Census Tract 9, Florence County, South Carolina",-79.776,34.199,45,45041,45041000900
d1bbefd2-0f27-463f-bfd0-7cb2de2ff31b,"Census Tract 1008, Sawyer County, Wisconsin",-90.833,45.887,55,55113,55113100800
f5f189bd-28e1-45e6-a5f4-a31881145742,"Census Tract 1706.02, Coweta County, Georgia",-84.743,33.378,13,13077,13077170602
94f15141-ede9-4598-8256-b8ba375f1c71,"Census Tract 12.01, Rock County, Wisconsin",-89.072,42.606,55,55105,55105001201
656e8020-82df-42f7-a607-e179eefa6f92,"Census Tract 9502, Franklin County, Mississippi",-90.924,31.576,28,28037,28037950200
abd80c46-e38b-4518-b650-26a1c982bec4,"Census Tract 209, Houston County, Georgia",-83.639,32.615,13,13153,13153020900
a98dc87e-062c-4d44-b739-8ad26e752795,"Census Tract 1012, Milwaukee County, Wisconsin",-88.018,42.989,55,55079,55079101200
bbcaee88-333e-4e57-b319-a1e9925204f5,"Census Tract 2031.03, Waukesha County, Wisconsin",-88.241,43.016,55,55133,55133203103
96f098bc-8b86-4ec1-ab57-36fefbf1d8af,"Census Tract 9501, Wayne County, Mississippi",-88.489,31.846,28,28153,28153950100
e7cf989f-fa3d-47fd-818a-6aed4665c8f5,"Census Tract 9608, Lincoln County, Wisconsin",-89.728,45.190,55,55069,55069960800
5b8d1bc8-5027-4771-8f07-1e47af4b8fd4,"Census Tract 70.02, Fulton County, Georgia",-84.373,33.698,13,13121,13121007002
990ff97b-a861-41c8-85a7-aec27cd8d3f4,"Census Tract 9601.02, Langlade County, Wisconsin",-89.403,45.421,55,55067,55067960102
1a05ab81-6daa-469c-b5cf-e556f733fd47,"Census Tract 9400.04, Brown County, Wisconsin",-88.090,44.516,55,55009,55009940004
ac605b20-f7fb-4593-9330-945cd040196d,"Census Tract 303, Union County, South Carolina",-81.598,34.720,45,45087,45087030300
2d7c5463-ad5c-4cbd-9e39-285ab750e7c7,"Census Tract 7, Adams County, Mississippi",-91.405,31.560,28,28001,28001000700
3268fa4b-ad3a-438d-9064-4244010637fa,"Census Tract 1006, Shawano County, Wisconsin",-88.787,44.848,55,55115,55115100600
fb27e6e1-7417-4726-8775-74463e76f9fe,"Census Tract 9501, Choctaw County, Mississippi",-89.347,33.365,28,28019,28019950100
22cf3866-1b97-42f6-9ecd-3a6265706d5e,"Census Tract 101, Polk County, Georgia",-85.057,34.047,13,13233,13233010100
4e7b8999-155a-4eb5-9ef5-5355253c01b7,"Census Tract 11, Chatham County, Georgia",-81.080,32.066,13,13051,13051001100
fad62550-5f94-44cb-baaf-2583c4398cf1,"Census Tract 199, Milwaukee County, Wisconsin",-87.982,42.968,55,55079,55079019900
c2aa7fd5-50ae-4026-b2c1-3366d9dcac99,"Census Tract 9502, Montgomery County, Georgia",-82.595,32.175,13,13209,13209950200
2ad265e9-fc3c-433a-bf8c-8fd5a19cbb78,"Census Tract 303, Union County, South Carolina",-81.597,34.719,45,45087,45087030300
d5d0e8f6-b2be-43bc-b995-44ffadc67ce2,"Census Tract 1003, Waupaca County, Wisconsin",-89.131,44.506,55,55135,55135100300
68677f82-f20a-48ea-ad61-166d8d984316,"Census Tract 1.02, Dougherty County, Georgia",-84.074,31.587,13,13095,13095000102
31f0d60c-5fe8-459e-b777-72d35c02e1d0,"Census Tract 503.10, Gwinnett County, Georgia",-84.238,33.967,13,13135,13135050310
1b736947-566a-4a0d-8bdc-531108add033,"Census Tract 5, Kenosha County, Wisconsin",-87.829,42.616,55,55059,55059000500
88f9ca03-7c83-4aeb-b7d1-5c0e0b96d533,"Census Tract 308, Union County, South Carolina",-81.681,34.833,45,45087,45087030800
18f517f5-5ac8-441d-9710-f47a300a52c2,"Census Tract 9501, Monroe County, Wisconsin",-90.386,44.027,55,55081,55081950100
b70ac8b4-baf2-4bcd-a4be-a1d6b2dafd52,"Census Tract 404.07, Clayton County, Georgia",-84.314,33.597,13,13063,13063040407
cf088c4b-d52a-49b1-9367-8e1497f247ca,"Census Tract 9701, Banks County, Georgia",-83.440,34.422,13,13011,13011970100
c4184204-6b1f-4719-96e5-5bcd209add05,"Census Tract 9503.02, Taylor County, Georgia",-84.236,32.557,13,13269,13269950302
a3fcfdd6-77fd-411a-85ad-10226b59a3ee,"Census Tract 115, Darlington County, South Carolina",-79.989,34.180,45,45031,45031011500
12b54a64-f7b6-43dd-abcf-386776e50b20,"Census Tract 505.45, Gwinnett County, Georgia",-83.933,33.963,13,13135,13135050545
f7a4adad-b13d-469c-9f00-fb910e72b93a,"Census Tract 3.02, Glynn County, Georgia",-81.386,31.224,13,13127,13127000302
c4111c57-412b-4cb5-9364-7b5c4d12bdcc,"Census Tract 9201.03, Laurens County, South Carolina",-82.133,34.631,45,45059,45059920103
0492910c-f6ad-4d81-907a-02cbd33212b2,"Census Tract 9702, Lincoln County, Georgia",-82.469,33.766,13,13181,13181970200
7f2aada2-0510-4e61-81da-d53b3a026e91,"Census Tract 17.06, Dane County, Wisconsin",-89.387,43.077,55,55025,55025001706
308cbd44-8edd-4620-9ac6-ea3a8349c4c7,"Census Tract 9604, Dodge County, Georgia",-83.174,32.195,13,13091,13091960400
e9afd582-592d-4d49-b010-2bcb47e64490,"Census Tract 23, Harrison County, Mississippi",-89.102,30.382,28,28047,28047002300
677da84a-b20c-4c1a-b3e2-50ff0c7622cc,"Census Tract 5.06, Dane County, Wisconsin",-89.472,43.020,55,55025,55025000506
775718c2-6b2d-4095-8bac-2522527f5d91,"Census Tract 9602, Polk County, Wisconsin",-92.652,45.571,55,55095,55095960200
bc0abf76-95c9-4f28-a4d7-859f527ab622,"Census Tract 107, Neshoba County, Mississippi",-89.316,32.740,28,28099,28099010700
f6c7a790-0d58-4f97-8ce3-7b517bf1e754,"Census Tract 9501.01, Monroe County, Mississippi",-88.268,33.980,28,28095,28095950101
3c80dabb-e848-4fe4-8deb-f5af4af6955f,"Census Tract 203.08, Calumet County, Wisconsin",-88.351,44.209,55,55015,55015020308
050011e4-fc48-40a0-9487-4c41e9ae073b,"Census Tract 33.01, Harrison County, Mississippi",-88.902,30.437,28,28047,28047003301
ee2ab0f4-e221-4e35-b8d8-8f88a1c6fff6,"Census Tract 77.06, Fulton County, Georgia",-84.513,33.671,13,13121,13121007706
5c8cfde9-7068-4640-a278-dd29b2891f44,"Census Tract 101.01, La Crosse County, Wisconsin",-90.985,43.890,55,55063,55063010101
defb4214-1a9b-4fae-8651-24cee7650068,"Census Tract 9504, Tallahatchie County, Mississippi",-90.047,33.871,28,28135,28135950400
d3744997-83e1-4255-8efb-b6224bc59b0e,"Census Tract 218.10, DeKalb County, Georgia",-84.235,33.858,13,13089,13089021810
fbc2e539-6915-4862-b590-e59d87698090,"Census Tract 9702.03, Edgefield County, South Carolina",-81.926,33.804,45,45037,45037970203
8eb1bb75-7f63-4056-9de7-fe5dbbb7318a,"Census Tract 1008, Sawyer County, Wisconsin",-91.012,45.821,55,55113,55113100800
