"location_name_clean","r3latitude","r3longitude","state","change_year","geom","change_type"
"A T E C","34.290","-80.559","SC","2012","0101000020E61000005CD20781CB2354C041EA1B3D23254140",NULL
"AB COMMUNITY CENTER","33.806","-78.721","SC","2012","0101000020E610000045DD62D927AE53C06B05F29139E74040",NULL
"ABBEVILLE CIVIC CENTER","34.184","-82.385","SC","2012","0101000020E6100000BBF0DEAC9C9854C074DCDF8F91174140",NULL
"ABBEVILLE CO. COURTHOUSE","34.178","-82.378","SC","2012","0101000020E61000008C086B08339854C0F0C74851C2164140",NULL
"ABBEVILLE COUNTY COMPLEX","34.159","-82.384","SC","2012","0101000020E610000042A8F7F9949854C08A56EE0566144140",NULL
"ABBEVILLE FIRE DEPARTMENT HEADQUARTERS","34.167","-82.410","SC","2012","0101000020E6100000BB89100D419A54C0C4735BC75D154140",NULL
"ABEL BAPTIST CHURCH","34.694","-82.803","SC","2012","0101000020E61000000CE71A6668B354C029E8F692C6584140",NULL
"ABIDING SAVIOR LUTHERAN","34.542","-82.632","SC","2012","0101000020E61000007075A50A6BA854C0E1FC97B55E454140",NULL
"ABNER CREEK BAPTIST CHURCH","34.878","-82.150","SC","2012","0101000020E6100000560850F8918954C0D74922A067704140",NULL
"ABSENTEE PRECINCT","32.496","-80.985","SC","2012","0101000020E6100000E74AA9F00C3F54C0607825C9733F4040",NULL
"ABSENTEE/ADMINISTRATION BUILDING","35.077","-81.643","SC","2012","0101000020E6100000FE614B8F266954C06EB02605CC894140",NULL
"ACADEMY OF TECH/ACADEMICS","33.949","-79.028","SC","2012","0101000020E61000008487C498CFC153C073092C2570F94040",NULL
"ADAMS RUN CIVIC CENTER","32.719","-80.348","SC","2012","0101000020E61000007D5FB763451654C04AAA0029FB5B4040",NULL
"ADNAH UNITED METHODIST CHURCH","34.958","-81.125","SC","2012","0101000020E61000004C63C5BA024854C0729C2512967A4140",NULL
"ADULT AND COMMUNITY EDUCATION CENTER","34.028","-81.007","SC","2012","0101000020E61000005B4EF85B714054C0EF47403B96034140",NULL
"ADVENT UNITED METHODIST CHURCH","34.812","-82.246","SC","2012","0101000020E6100000CEE6CCD1BE8F54C049B0389CF9674140",NULL
"AIKEN ELECTRIC CO-OP","33.615","-81.086","SC","2012","0101000020E6100000C039C890884554C0559BA49EAACE4040",NULL
"AIKEN ELECTRIC COOP","33.549","-81.655","SC","2012","0101000020E61000005BD5ED47E56954C09DB2E43B42C64040",NULL
"AIKEN HIGH SCHOOL","33.580","-81.719","SC","2012","0101000020E610000076476BB1006E54C0E56A1ACA3FCA4040",NULL
"AIMWELL PRESBYTERIAN CHURCH","32.825","-80.559","SC","2012","0101000020E61000000D0F0643C22354C05174136BA7694040",NULL
"AIRPORT TERMINAL","34.245","-82.153","SC","2012","0101000020E6100000CD2E2988CB8954C095511B8B5C1F4140",NULL
"ALBERT R LEWIS ELEMENTARY SCHOOL","34.899","-82.791","SC","2012","0101000020E6100000ECDCB419A7B254C0E50AEF7211734140",NULL
"ALCOLU ELEMENTARY SCHOOL","33.755","-80.213","SC","2012","0101000020E61000008C0D82339D0D54C01A8BA6B393E04040",NULL
"ALCORN MIDDLE SCHOOL","34.055","-81.030","SC","2012","0101000020E610000037418AF0E54154C0D88CC2E4FC064140",NULL
"ALDERSGATE UNITED METHODIST CHURCH","34.976","-81.009","SC","2012","0101000020E61000007BBC900E8F4054C0CFA2772AE07C4140",NULL
"ALDERSGATE UNITED METHODIST CHURCH","34.883","-82.345","SC","2012","0101000020E61000001D925A28199654C06D7AAB09FD704140",NULL
"ALEXANDER ELEMENTARY SCHOOL","34.856","-82.440","SC","2012","0101000020E610000006178623239C54C0299C3814996D4140",NULL
"ALFRED RUSH ACADEMY","34.230","-79.730","SC","2012","0101000020E6100000FF8DE2C1BBEE53C019486128711D4140",NULL
"ALHAMBRA HALL","32.780","-79.870","SC","2012","0101000020E6100000A48CB800B4F753C07EE19524CF634040",NULL
"ALICE DRIVE MIDDLE SCHOOL","33.933","-80.377","SC","2012","0101000020E610000031BC48571F1854C0803EDBB463F74040",NULL
"ALL SAINTS CATHOLIC CHURCH","35.133","-81.080","SC","2012","0101000020E6100000F719619B1E4554C00EDD47C906914140",NULL
"ALLENDALE ADULT EDUCATION SCHOOL","33.003","-81.322","SC","2012","0101000020E61000001FFAEE56965454C038D7D58970804040",NULL
"ALLENDALE COMMUNITY CENTER","33.007","-81.308","SC","2012","0101000020E6100000C5083C8BB95354C06CD509C3DB804040",NULL
"ALLIGATOR FIRE DEPARTMENT","34.527","-80.148","SC","2012","0101000020E6100000E30396B77E0954C005696BE976434140",NULL
"ALLISON CREEK PRESBYTERIAN CHURCH","35.041","-81.102","SC","2012","0101000020E61000003271AB20864654C0473A03232F854140",NULL
"ALMA ELEMENTARY SCHOOL","35.082","-81.610","SC","2012","0101000020E610000052E45AFE0D6754C01F1F3EFA708A4140",NULL
"ALSTON MIDDLE SCHOOL","33.032","-80.182","SC","2012","0101000020E610000092BC299BA80B54C0F5108DEE20844040",NULL
"ALVIN COMMUNITY CENTER","33.347","-79.815","SC","2012","0101000020E61000001CD71AA526F453C02AB5CD435CAC4040",NULL
"AMERICAN LEGION","33.915","-82.301","SC","2012","0101000020E61000008531337D409354C0CE50DCF126F54040",NULL
"AMERICAN LEGION","34.939","-81.039","SC","2012","0101000020E61000002E4DB626824254C0617D4D2036784140",NULL
"AMERICAN LEGION BLDG.","34.246","-80.626","SC","2012","0101000020E6100000C5F363DD092854C0C81FB182841F4140",NULL
"AMERICAN LEGION BLDG.","35.073","-81.653","SC","2012","0101000020E61000009FFB17ADC86954C0494A7A185A894140",NULL
"AMERICAN LEGION HALL","33.786","-81.931","SC","2012","0101000020E61000009F28BFFB997B54C0648918C0A5E44040",NULL
"AMERICAN LEGION HALL","33.979","-81.052","SC","2012","0101000020E6100000E40E400F5A4354C00FD99B734BFD4040",NULL
"AMERICAN LEGION HALL","34.405","-79.333","SC","2012","0101000020E6100000238DC00E52D553C0EA7B687AE4334140",NULL
"AMERICAN LEGION HOME BUILDING","33.918","-80.361","SC","2012","0101000020E6100000E8BB5B59221754C0CAFD0E4581F54040",NULL
"AMERICAN LEGION HUT","34.388","-80.076","SC","2012","0101000020E61000007A64BD62D70454C0D76D50FBAD314140",NULL
"AMERICAN LEGION HUT","34.663","-83.096","SC","2012","0101000020E61000007D1C72D822C654C030C099F3E7544140",NULL
"AMERICAN LEGION HUT","33.407","-79.931","SC","2012","0101000020E6100000E2546B6196FB53C01F2B9DB415B44040",NULL
"AMERICAN LEGION OFF HARMON","33.981","-81.230","SC","2012","0101000020E6100000393BBE62B24E54C0F87EB4498FFD4040",NULL
"AMERICAN LEGION POST","33.571","-81.723","SC","2012","0101000020E6100000E9746A78446E54C0189FB8D221C94040",NULL
"AMERICAN LEGION POST #224","34.196","-82.136","SC","2012","0101000020E6100000E5C3FD91B38854C0C597E4DB16194140",NULL
"AMERICAN LEGION POST 232","33.502","-81.934","SC","2012","0101000020E61000000E74A37ECD7B54C0C8C4F70F33C04040",NULL
"AMERICAN LEGION POST 270","34.734","-82.045","SC","2012","0101000020E61000000365AE67E38254C0AF66F8AAF05D4140",NULL
"AMERICAN LEGION POST 90","33.922","-81.126","SC","2012","0101000020E6100000C95C740D0E4854C0EB234B4112F64040",NULL
"AMICKS FERRY FIRE STATION","34.129","-81.386","SC","2012","0101000020E610000087AAF303B25854C0096B63EC84104140",NULL
"ANDERSON AREA YMCA","34.542","-82.626","SC","2012","0101000020E6100000BAF59A1E14A854C0F275BE4461454140",NULL
"ANDERSON CHRISTIAN SCHOOL / HOPE FELLOWSHIP","34.557","-82.681","SC","2012","0101000020E61000004F3FA88B94AB54C0CF48298D3D474140",NULL
"ANDERSON COUNTY MUSEUM","34.510","-82.650","SC","2012","0101000020E61000007909A93693A954C0C4398F2F46414140",NULL
"ANDERSON CTY REG & ELECTIONS OFFICE","34.505","-82.651","SC","2012","0101000020E6100000E4863A07AAA954C0B896242AAF404140",NULL
"ANDERSON MILL ELEMENTARY SCH.","34.883","-82.004","SC","2012","0101000020E61000005C59FD6C3F8054C0078A69F008714140",NULL
"ANDERSON PRIM SCHOOL","33.672","-79.821","SC","2012","0101000020E6100000364DE9AA8AF453C0EA3F6B7EFCD54040",NULL
"ANDERSON RECREATION CENTER","34.512","-82.655","SC","2012","0101000020E6100000D8CB5B1AE4A954C07AC7293A92414140",NULL
"ANDERSON UNIVERSITY ATHLETIC CAMPUS","34.510","-82.630","SC","2012","0101000020E6100000D2E8C4D44CA854C0C19778F64B414140",NULL
"ANDERSON V CAREER CAMPUS","34.494","-82.645","SC","2012","0101000020E61000007AEBB24E4BA954C035EF3845473F4140",NULL
"ANGELUS COMMUNITY CENTER","34.592","-80.335","SC","2012","0101000020E61000008984A570731554C0843F68E2C24B4140",NULL
"ANGLICAN CHURCH PARRISH","32.470","-80.965","SC","2012","0101000020E6100000FC0571D4C03D54C025CFF57D383C4040",NULL
"ANNIE BURNSIDE ELEMENTARY","33.970","-80.937","SC","2012","0101000020E61000000438BD8BF73B54C09A82908719FC4040",NULL
"ANTIOCH BAPTIST CHURCH","34.705","-80.675","SC","2012","0101000020E6100000F1E14856342B54C0FC276ECB365A4140",NULL
"ANTIOCH COMMUNITY BLDG.","35.141","-81.451","SC","2012","0101000020E6100000F2052D24E05C54C04CDCCFCE0E924140",NULL
"ANTIOCH FIRE STATION","34.237","-80.478","SC","2012","0101000020E61000007C5578E1981E54C01C8D8D8A491E4140",NULL
"ANTIOCH RECREATION CENTER","34.440","-80.001","SC","2012","0101000020E6100000ADCBDF73160054C0ACE694DB51384140",NULL
"ANTIOCH UNITED METHODIST CHURCH","34.870","-81.117","SC","2012","0101000020E610000023884E2A754754C06AF40FC75F6F4140",NULL
"ANTREVILLE FIRE DEPARTMENT","34.294","-82.526","SC","2012","0101000020E61000005BB4006DABA154C0A999FFA1AA254140",NULL
"APPLIED TECHNOLOGY CENTER","34.948","-81.080","SC","2012","0101000020E6100000A6D189A9194554C020B41EBE4C794140",NULL
"ARCADIA ELEMENTARY SCHOOL","34.964","-81.991","SC","2012","0101000020E61000009F2754266B7F54C029FA8DC0697B4140",NULL
"ARDEN ELEMENTARY","34.050","-81.022","SC","2012","0101000020E6100000B9C0E5B1664154C053ECC3D55C064140",NULL
"ARIAL BAPTIST CHURCH (ARIAL MILL)","34.849","-82.644","SC","2012","0101000020E6100000930266193DA954C068435953B46C4140",NULL
"ARMSTRONG ELEMENTARY SCHOOL","34.905","-82.463","SC","2012","0101000020E610000094B42CA9A49D54C07AE81615CC734140",NULL
"ARROWOOD BAPTIST CHURCH","35.164","-81.892","SC","2012","0101000020E6100000EFF15366147954C083CAAE6AFF944140",NULL
"ARSENAL HILL PARK","34.008","-81.042","SC","2012","0101000020E61000003BA6EECAAE4254C091FDE20808014140",NULL
"ARTS CENTER OF COASTAL CAROLINA","32.178","-80.728","SC","2012","0101000020E6100000C3F869DC9B2E54C0A4CC6152D7164040",NULL
"ASBURY MEMORIAL METHODIST","33.976","-80.946","SC","2012","0101000020E61000006EC0E787913C54C04D1BC4BDE8FC4040",NULL
"ASHLEY RIVER ELEMENTARY SCHOOL","32.802","-80.023","SC","2012","0101000020E6100000CA17B490800154C09E0B23BDA8664040",NULL
"AUGUSTA CIRCLE ELEMENTARY SCHOOL","34.821","-82.395","SC","2012","0101000020E6100000C18EFF02419954C047B53E9B0B694140",NULL
"AUGUSTA RD BAPTIST CHURCH","34.827","-82.397","SC","2012","0101000020E6100000ED4ED2576B9954C03B62E3B0EA694140",NULL
"AWENDAW TOWN HALL","32.990","-79.644","SC","2012","0101000020E6100000570F4EFA31E953C0B1E1E995B27E4040",NULL
"AYNOR ELEMENTARY SCHOOL","33.985","-79.210","SC","2012","0101000020E6100000A1F721CA72CD53C01C7519A31AFE4040",NULL
"AYNOR TOWN HALL","33.998","-79.205","SC","2012","0101000020E610000040097DFA19CD53C0085B47B0CCFF4040",NULL
"B C GRAMMAR SCHOOL #1","33.986","-81.094","SC","2012","0101000020E6100000B928C46DFE4554C0D6500F762FFE4040",NULL
"B-L LEISURE CENTER","33.916","-81.536","SC","2012","0101000020E61000007C314A86526254C089A8D3CB39F54040",NULL
"B.D. LEE SCHOOL","35.078","-81.662","SC","2012","0101000020E6100000C417377F5D6A54C098EB23A6FA894140",NULL
"BALDWIN","34.711","-81.234","SC","2012","0101000020E61000004FC35CF7FB4E54C0358012FAF45A4140",NULL
"BALLENTINE ELEMENTARY","34.129","-81.236","SC","2012","0101000020E6100000787302E4154F54C09AA7847181104140",NULL
"BAMBERG CITY CIVIC CENTER","33.305","-81.033","SC","2012","0101000020E6100000315AEC9B204254C0B415455909A74040",NULL
"BAPTIST CHURCH FELLOW HAL","34.639","-82.997","SC","2012","0101000020E6100000132BA391CFBF54C0071E8425C3514140",NULL
"BAPTIST TABERNACLE CHURCH","32.982","-80.128","SC","2012","0101000020E610000097BBE01D2A0854C0D98239D5B57D4040",NULL
"BARKERS CREEK BAPTIST CHURCH","34.437","-82.446","SC","2012","0101000020E6100000DA006C40849C54C02EFF21FDF6374140",NULL
"BARNWELL HEALTH DEPT./DHEC","33.257","-81.378","SC","2012","0101000020E6100000B49DA51A2C5854C06C713216F2A04040",NULL
"BARON DEKALB ELEMENTARY SCHOOL","34.407","-80.689","SC","2012","0101000020E610000085306DEE1E2C54C0C652245F09344140",NULL
"BARR STREET LEARNING CENTER","34.726","-80.764","SC","2012","0101000020E6100000207821C2E43054C0CD881C6CFB5C4140",NULL
"BARRINEAU FIRE STATION","33.872","-79.908","SC","2012","0101000020E6100000BFFDCA9420FA53C082D0D5B1A5EF4040",NULL
"BATES MIDDLE SCHOOL","33.901","-80.350","SC","2012","0101000020E6100000E509849D621654C0D492D8FF4AF34040",NULL
"BATON ROUGE","34.739","-81.309","SC","2012","0101000020E6100000289A07B0C85354C0459847A3A75E4140",NULL
"BATTERY PARK COMMUNITY CENTER","33.728","-79.575","SC","2012","0101000020E6100000FA97A432C5E453C0936FB6B931DD4040",NULL
"BAY SPRINGS FIRE DEPARTMENT","34.614","-80.158","SC","2012","0101000020E610000096671481200A54C08759C3A0A74E4140",NULL
"BAYBORO FIRE STATION","34.056","-78.890","SC","2012","0101000020E6100000085F4EBFFAB853C098B0EC3834074140",NULL
"BEACH CH/ MB COMMUNITY CHURCH","33.712","-78.938","SC","2012","0101000020E6100000DE4C3BEB09BC53C0A2467C821FDB4040",NULL
"BEAUFORT COUNTY PUBLIC WORKS","32.463","-80.747","SC","2012","0101000020E61000009F1221BFC82F54C0BFFB9930503B4040",NULL
"BEAUFORT MIDDLE SCHOOL","32.402","-80.692","SC","2012","0101000020E610000003006CE54A2C54C0CF328B506C334040",NULL
"BEAUMONT METHODIST CHURCH","34.964","-81.923","SC","2012","0101000020E61000005DBAEE520F7B54C0D4EFC2D66C7B4140",NULL
"BEAUTIFUL SAVIOR LUTHERAN","32.975","-80.172","SC","2012","0101000020E610000096B77E55090B54C0544B8457DC7C4040",NULL
"BEAVER CREEK FIRE DEPARTMENT","34.432","-80.770","SC","2012","0101000020E6100000863AAC704B3154C02D0373993F374140",NULL
"BECK ACADEMY","34.838","-82.322","SC","2012","0101000020E6100000360EAB2E969454C04CFA7B293C6B4140",NULL
"BECK RECREATION CENTER","33.375","-79.288","SC","2012","0101000020E610000048A9DFE066D253C0DD04847B0AB04040",NULL
"BECKHAMVILLE","34.588","-80.916","SC","2012","0101000020E61000008DEE2076A63A54C02F151BF33A4B4140",NULL
"BEECH HILL ELEMENTARY","32.951","-80.227","SC","2012","0101000020E6100000184B47EF8A0E54C05F3AF768BB794040",NULL
"BEECH ISL COMMUNITY CENTER","33.428","-81.886","SC","2012","0101000020E6100000B98ECC7EB87854C07520EBA9D5B64040",NULL
"BEECH ISL FIRE DEPARTMENT","33.430","-81.892","SC","2012","0101000020E610000038DE78D21D7954C0100F176F1AB74040",NULL
"BEECH SPGS INTERMED SCHOOL","34.926","-82.132","SC","2012","0101000020E610000079985187708854C042203C7F7F764140",NULL
"BEERSHEBA PRESBYTERIAN CHURCH","35.037","-81.320","SC","2012","0101000020E6100000B9D15B97755454C04E65AC91B8844140",NULL
"BELFAIR FITNESS & SPORTS CENTER","32.281","-80.874","SC","2012","0101000020E610000093AA48E0EA3754C018B8978FFF234040",NULL
"BELLE HALL ELEMENTARY SCHOOL","32.847","-79.856","SC","2012","0101000020E6100000EA211ADDC1F653C03E7D5FB7636C4040",NULL
"BELLEVIEW ELEMENTARY SCHOOL","34.920","-81.003","SC","2012","0101000020E610000084E85AC52C4054C02D1A7CABBF754140",NULL
"BELLEVILLE VOL FIRE DEPARTMENT","33.743","-80.818","SC","2012","0101000020E610000023032FE95E3454C0CE61084A1BDF4040",NULL
"BELLS CROSSING ELEMENTARY SCHOOL","34.778","-82.214","SC","2012","0101000020E6100000D11852EAB78D54C0FCA886FD9E634140",NULL
"BELMONT FIRE STATION HEADQUARTERS","34.772","-82.360","SC","2012","0101000020E6100000ED0A7DB00C9754C0E2FF33EFDD624140",NULL
"BELTLINE CENTER ACT. BUILDING","35.089","-81.657","SC","2012","0101000020E610000059AA66310C6A54C00702092F668B4140",NULL
"BELTON-HONEA PATH HI SCHOOL","34.473","-82.443","SC","2012","0101000020E61000006E2CCD52579C54C0B9E00CFE7E3C4140",NULL
"BELV UNITED METHODIST CHURCH","33.528","-81.937","SC","2012","0101000020E6100000E85894C8F47B54C08E7E8F55A5C34040",NULL
"BELVEDERE FIRE DEPARTMENT","33.533","-81.942","SC","2012","0101000020E6100000C2137AFD497C54C0F35BCF6B47C44040",NULL
"BEN ARNOLD RECREATION CENTER","33.978","-80.996","SC","2012","0101000020E61000005542C1D6B63F54C0E1CA7E8230FD4040",NULL
"BEN AVON METHODIST CHURCH","34.937","-81.882","SC","2012","0101000020E61000006C5DC53D717854C0E0D91EBDE1774140",NULL
"BENJAMIN E MAYS ELEMENTARY SCHOOL","34.152","-82.175","SC","2012","0101000020E61000006B161EEA2D8B54C0E7B45D5782134140",NULL
"BENNETTSVILLE COMMUNITY CENTER","34.627","-79.689","SC","2012","0101000020E6100000C7B205291DEC53C0D8124DFB41504140",NULL
"BEREA BAPTIST CHURCH","34.030","-79.099","SC","2012","0101000020E610000053FDEF2D51C653C08860C1A2C7034140",NULL
"BEREA ELEMENTARY SCHOOL","34.881","-82.456","SC","2012","0101000020E61000008294336F309D54C01C3FF960BE704140",NULL
"BEREA FIRE STATION HEADQUARTERS","34.879","-82.469","SC","2012","0101000020E6100000B07E2205059E54C01303B8B475704140",NULL
"BERKELEY ELEMENTARY SCHOOL","33.205","-80.055","SC","2012","0101000020E6100000B022FEBC840354C0191648F5429A4040",NULL
"BERKELEY HIGH SCHOOL","33.202","-80.030","SC","2012","0101000020E6100000128D49DAE80154C0DF8B2FDAE3994040",NULL
"BERKELEY INTERMEDIATE","33.196","-79.979","SC","2012","0101000020E610000037A79201A0FE53C0BE30992A18994040",NULL
"BERKELEY MIDDLE SCHOOL","33.200","-79.995","SC","2012","0101000020E6100000B151D66FA6FF53C0AC1BEF8E8C994040",NULL
"BETHANY BAPTIST CHURCH","34.745","-82.144","SC","2012","0101000020E6100000822A7F083B8954C0D43F2DAB555F4140",NULL
"BETHANY BAPTIST CHURCH","33.913","-82.293","SC","2012","0101000020E6100000EE0E2906C89254C0C3E3912EECF44040",NULL
"BETHANY BAPTIST CHURCH","34.978","-81.961","SC","2012","0101000020E61000007B4386FA827D54C035081802257D4140",NULL
"BETHANY BIBLE CHAPEL","33.892","-79.061","SC","2012","0101000020E61000003C9C65BBE7C353C001C287122DF24040",NULL
"BETHANY ELEMENTARY SCHOOL","35.121","-81.306","SC","2012","0101000020E6100000CE7234A28F5354C019A7C6F07D8F4140",NULL
"BETHANY UNITED METHODIST","33.017","-80.180","SC","2012","0101000020E6100000399677D5830B54C0C10C7CFB29824040",NULL
"BETHANY WESLEYAN CHURCH","34.859","-82.042","SC","2012","0101000020E610000025BB88A5B78254C0FDB6CC8EF96D4140",NULL
"BETHEL ELEMENTARY SCHOOL","35.113","-81.229","SC","2012","0101000020E6100000065CA159A34E54C062B8DF466F8E4140",NULL
"BETHEL FIRE DEPARTMENT","35.123","-81.100","SC","2012","0101000020E61000006A53D0485F4654C082E50819C88F4140",NULL
"BETHEL HANBERRY ELEMENTARY","34.217","-80.980","SC","2012","0101000020E61000000835E8F0B53E54C0E07AB9F4D41B4140",NULL
"BETHEL UNITED METH CHURCH","34.306","-80.029","SC","2012","0101000020E6100000850C3F93D80154C0FC8051932A274140",NULL
"BETHESDA CHURCH ANNEX","34.540","-81.599","SC","2012","0101000020E61000004270010D5B6654C0276893C327454140",NULL
"BETHESDA FIRE DEPARTMENT","34.898","-81.131","SC","2012","0101000020E61000006A566C825E4854C0914259F8FA724140",NULL
"BETHESDA UM CHURCH","33.763","-79.673","SC","2012","0101000020E61000001776622019EB53C0D56993799AE14040",NULL
"BETHLEHEM BAPTIST CHURCH","33.904","-78.903","SC","2012","0101000020E6100000CB4A9352D0B953C0CBBF9657AEF34040",NULL
"BETHLEHEM BAPTIST CHURCH","32.962","-80.542","SC","2012","0101000020E6100000AA4F28FAB22254C0B39A09E12C7B4040",NULL
"BETHLEHEM BAPTIST CHURCH FAMILY LIFE CENTER","34.759","-80.631","SC","2012","0101000020E6100000237C94B65D2854C083E222522E614140",NULL
"BETHLEHEM BAPTIST CHURCH FLC","34.886","-81.981","SC","2012","0101000020E61000005FD04202C67E54C00A760D4460714140",NULL
"BETHUNE BOWMAN HIGH SCHOOL","33.407","-80.739","SC","2012","0101000020E6100000109AB8B0492F54C09893066D28B44040",NULL
"BEULAH UNITED METH CHURCH","34.021","-81.410","SC","2012","0101000020E6100000A737482D395A54C05CE84A04AA024140",NULL
"BIRNIE HOPE CENTER","33.915","-80.354","SC","2012","0101000020E61000009B108475AD1654C096D7005B14F54040",NULL
"BLACK CREEK BAPTIST CHURCH","32.806","-80.798","SC","2012","0101000020E61000000645F300163354C0482F0F3E39674040",NULL
"BLACKJACK BAPTIST CHURCH","34.343","-81.125","SC","2012","0101000020E6100000EEAB17E8FF4754C02B2680ACF12B4140",NULL
"BLACKSBURG FIRE DEPT.","35.121","-81.516","SC","2012","0101000020E610000099CCC2E8036154C05F0E16A98B8F4140",NULL
"BLACKSTOCK FIRST BAPTIST","34.568","-81.162","SC","2012","0101000020E61000005E4C8E965E4A54C033E59E09A8484140",NULL
"BLACKVI COMMUNITY CENTER","33.358","-81.270","SC","2012","0101000020E6100000B02C87CC4B5154C0831F8B23C5AD4040",NULL
"BLAIR VOL. FIRE DEPARTMENT","34.416","-81.359","SC","2012","0101000020E610000029ADBF25005754C07A6C70C740354140",NULL
"BLANEY BAPTIST CHURCH","34.168","-80.792","SC","2012","0101000020E6100000B0993226B33254C0C8C6CDBA90154140",NULL
"BLANEY ELEMENTARY SCHOOL","34.185","-80.788","SC","2012","0101000020E61000005382B4B5743254C0F56915FDA1174140",NULL
"BLANEY FIRE DEPARTMENT","34.177","-80.781","SC","2012","0101000020E6100000686DBF21F93154C0EFA42A12B8164140",NULL
"BLOOMINGVALE COMMUNITY CENTER","33.536","-79.595","SC","2012","0101000020E6100000897C975217E653C002A5FCFF93C44040",NULL
"BLUE RIDGE BAPTIST CHURCH","34.514","-82.550","SC","2012","0101000020E61000008AB1A77837A354C0787A4A73D0414140",NULL
"BLUE'S COUNTRY STORE","34.434","-79.544","SC","2012","0101000020E61000009400EB27D2E253C0729C251296374140",NULL
"BLUFF ROAD PARK","33.930","-80.958","SC","2012","0101000020E61000005D51A5C1483D54C0F1A6B62FFBF64040",NULL
"BLUFFTON LIBRARY","32.241","-80.857","SC","2012","0101000020E61000009437763FDD3654C0E04FE850E11E4040",NULL
"BLUFFTON RECREATION CENTER","32.228","-80.852","SC","2012","0101000020E6100000B78CE5A7823654C010B97427331D4040",NULL
"BLYTHEWOOD HIGH SCHOOL","34.208","-80.979","SC","2012","0101000020E6100000017A2B5CA03E54C071F211E7971A4140",NULL
"BLYTHEWOOD MIDDLE","34.193","-80.933","SC","2012","0101000020E6100000A20D1BC0B63B54C0F53CC967C3184140",NULL
"BLYTHEWOOD PARK","34.219","-80.977","SC","2012","0101000020E6100000ABFEAD098E3E54C07D21E4BCFF1B4140",NULL
"BOARD OF ELECTIONS","32.851","-80.008","SC","2012","0101000020E6100000B187F6B1820054C0B0B4E78DEE6C4040",NULL
"BOILING SPRGS UN METH CHURCH","33.869","-81.316","SC","2012","0101000020E6100000EB0D08BE335454C0482F0F3E39EF4040",NULL
"BOILING SPRINGS 9TH GRADE","35.045","-81.984","SC","2012","0101000020E6100000B8EE4163017F54C04548DDCEBE854140",NULL
"BOILING SPRINGS 9TH GRADE","35.048","-81.973","SC","2012","0101000020E610000019E835D1427E54C0A692A6E617864140",NULL
"BOILING SPRINGS COMMUNITY CENTER","33.856","-81.315","SC","2012","0101000020E61000001EBE4C14215454C0EF44FFBA89ED4040",NULL
"BOILING SPRINGS ELEMENTARY","35.037","-81.985","SC","2012","0101000020E61000002EF76E980D7F54C09E7939ECBE844140",NULL
"BOILING SPRINGS MIDDLE SCHOOL","35.065","-82.007","SC","2012","0101000020E61000003B4382F3738054C016BF29AC54884140",NULL
"BOILING SPRS INTERMEDIATE","35.050","-82.016","SC","2012","0101000020E6100000597C540D0C8154C0E83E4A3668864140",NULL
"BOLENTOWN VOL FIRE DEPARTMENT","33.476","-81.016","SC","2012","0101000020E610000012FEA0890B4154C0D8E8E62CFDBC4040",NULL
"BONHAM FIRE HOUSE","34.776","-81.648","SC","2012","0101000020E6100000E3FDB8FD726954C08069AC5857634140",NULL
